,datetime,open,high,low,close
20170420105148,2017-04-20 10:51:48,1281.6,1282.0,1280.8,1280.9
20170420110033,2017-04-20 11:00:33,1280.9,1281.6,1280.8,1281.1
20170420111254,2017-04-20 11:12:54,1281.1,1281.2,1280.6,1280.7
20170420112352,2017-04-20 11:23:52,1280.8,1281.3,1280.5,1281.2
20170420113225,2017-04-20 11:32:25,1281.2,1281.3,1280.9,1281.3
20170420114657,2017-04-20 11:46:57,1281.2,1281.4,1280.7,1280.7
20170420120610,2017-04-20 12:06:10,1280.8,1280.8,1280.3,1280.7
20170420122139,2017-04-20 12:21:39,1280.7,1280.8,1280.4,1280.8
20170420124618,2017-04-20 12:46:18,1280.8,1281.2,1280.4,1280.6
20170420131039,2017-04-20 13:10:39,1280.6,1281.1,1280.5,1281.1
20170420134053,2017-04-20 13:40:53,1281.1,1281.2,1280.5,1280.7
20170420140612,2017-04-20 14:06:12,1280.8,1281.1,1280.4,1280.4
20170420141352,2017-04-20 14:13:52,1280.4,1280.5,1279.6,1279.7
20170420141531,2017-04-20 14:15:31,1279.6,1279.7,1278.9,1279.0
20170420141715,2017-04-20 14:17:15,1279.0,1280.1,1279.0,1280.0
20170420141808,2017-04-20 14:18:08,1280.0,1280.7,1279.9,1280.6
20170420142840,2017-04-20 14:28:40,1280.6,1281.0,1280.3,1280.6
20170420143616,2017-04-20 14:36:16,1280.6,1281.7,1280.6,1281.5
20170420143943,2017-04-20 14:39:43,1281.5,1281.7,1281.1,1281.1
20170420144519,2017-04-20 14:45:19,1281.1,1281.7,1281.1,1281.2
20170420144954,2017-04-20 14:49:54,1281.2,1281.6,1281.2,1281.3
20170420145240,2017-04-20 14:52:40,1281.3,1281.4,1280.8,1281.0
20170420150052,2017-04-20 15:00:52,1281.0,1281.3,1280.7,1280.9
20170420151101,2017-04-20 15:11:01,1280.9,1281.1,1280.2,1280.7
20170420151824,2017-04-20 15:18:24,1280.7,1281.4,1280.6,1281.1
20170420152459,2017-04-20 15:24:59,1281.1,1281.4,1280.9,1281.1
20170420153546,2017-04-20 15:35:46,1281.1,1281.5,1280.9,1281.4
20170420154643,2017-04-20 15:46:43,1281.4,1282.3,1281.3,1282.2
20170420154858,2017-04-20 15:48:58,1282.2,1282.8,1282.1,1282.6
20170420155110,2017-04-20 15:51:10,1282.7,1283.4,1282.3,1282.9
20170420155224,2017-04-20 15:52:24,1283.0,1283.0,1282.2,1282.4
20170420155624,2017-04-20 15:56:24,1282.4,1283.0,1282.2,1283.0
20170420160032,2017-04-20 16:00:32,1283.0,1283.5,1282.8,1283.5
20170420160256,2017-04-20 16:02:56,1283.5,1283.6,1282.9,1283.6
20170420160547,2017-04-20 16:05:47,1283.6,1283.8,1283.0,1283.1
20170420160812,2017-04-20 16:08:12,1283.1,1283.2,1282.4,1282.5
20170420161144,2017-04-20 16:11:44,1282.5,1282.8,1282.3,1282.5
20170420161805,2017-04-20 16:18:05,1282.6,1282.7,1281.7,1281.9
20170420162236,2017-04-20 16:22:36,1281.8,1282.4,1281.6,1282.2
20170420162951,2017-04-20 16:29:51,1282.2,1282.4,1281.7,1281.8
20170420163521,2017-04-20 16:35:21,1281.8,1281.8,1281.1,1281.2
20170420164108,2017-04-20 16:41:08,1281.2,1281.4,1280.9,1281.0
20170420164703,2017-04-20 16:47:03,1281.0,1281.1,1280.4,1280.5
20170420165316,2017-04-20 16:53:16,1280.4,1280.6,1279.9,1280.0
20170420165648,2017-04-20 16:56:48,1280.0,1280.2,1279.5,1279.8
20170420165830,2017-04-20 16:58:30,1279.8,1280.7,1279.8,1280.7
20170420170248,2017-04-20 17:02:48,1280.7,1280.8,1280.2,1280.2
20170420170905,2017-04-20 17:09:05,1280.2,1280.3,1279.5,1279.6
20170420171228,2017-04-20 17:12:28,1279.6,1279.8,1279.4,1279.8
20170420171534,2017-04-20 17:15:34,1279.8,1280.5,1279.8,1280.3
20170420172123,2017-04-20 17:21:23,1280.3,1281.1,1280.2,1280.7
20170420172728,2017-04-20 17:27:28,1280.7,1281.9,1280.7,1281.9
20170420173359,2017-04-20 17:33:59,1281.8,1282.1,1281.3,1281.4
20170420173835,2017-04-20 17:38:35,1281.4,1281.4,1280.3,1280.4
20170420174136,2017-04-20 17:41:36,1280.4,1280.5,1279.8,1280.0
20170420174731,2017-04-20 17:47:31,1280.0,1280.1,1279.5,1279.5
20170420175140,2017-04-20 17:51:40,1279.5,1279.6,1278.4,1278.8
20170420175202,2017-04-20 17:52:02,1278.8,1279.2,1278.7,1279.1
20170420175315,2017-04-20 17:53:15,1279.1,1280.2,1279.1,1280.2
20170420175700,2017-04-20 17:57:00,1280.2,1280.8,1279.8,1280.7
20170420180136,2017-04-20 18:01:36,1280.7,1280.8,1280.2,1280.3
20170420181042,2017-04-20 18:10:42,1280.3,1281.0,1280.1,1280.6
20170420181859,2017-04-20 18:18:59,1280.6,1281.3,1280.5,1280.9
20170420182616,2017-04-20 18:26:16,1280.9,1281.5,1280.6,1281.4
20170420183333,2017-04-20 18:33:33,1281.4,1281.7,1281.1,1281.4
20170420184222,2017-04-20 18:42:22,1281.4,1281.5,1280.2,1280.4
20170420185235,2017-04-20 18:52:35,1280.4,1280.8,1280.2,1280.2
20170420190436,2017-04-20 19:04:36,1280.2,1280.2,1279.6,1279.9
20170420191011,2017-04-20 19:10:11,1279.9,1280.0,1279.1,1279.2
20170420191521,2017-04-20 19:15:21,1279.2,1279.5,1279.0,1279.2
20170420192137,2017-04-20 19:21:37,1279.3,1280.3,1279.2,1280.2
20170420193113,2017-04-20 19:31:13,1280.2,1280.2,1279.1,1279.4
20170420194127,2017-04-20 19:41:27,1279.4,1280.1,1279.4,1280.0
20170420195347,2017-04-20 19:53:47,1280.0,1280.2,1279.7,1280.2
20170420200537,2017-04-20 20:05:37,1280.2,1281.1,1280.2,1281.1
20170420201410,2017-04-20 20:14:10,1281.1,1281.2,1280.2,1280.2
20170420201828,2017-04-20 20:18:28,1280.2,1280.5,1280.0,1280.4
20170420202706,2017-04-20 20:27:06,1280.4,1280.8,1280.0,1280.1
20170420203646,2017-04-20 20:36:46,1280.1,1280.6,1280.0,1280.2
20170420205055,2017-04-20 20:50:55,1280.2,1281.2,1280.2,1281.1
20170420210158,2017-04-20 21:01:58,1281.2,1281.7,1281.1,1281.6
20170420210547,2017-04-20 21:05:47,1281.6,1281.7,1280.9,1281.5
20170420211335,2017-04-20 21:13:35,1281.4,1281.6,1280.5,1280.8
20170420211853,2017-04-20 21:18:53,1280.9,1281.7,1280.7,1281.7
20170420212102,2017-04-20 21:21:02,1281.7,1282.5,1281.7,1282.4
20170420212149,2017-04-20 21:21:49,1282.3,1282.5,1282.2,1282.3
20170420212404,2017-04-20 21:24:04,1282.3,1282.4,1281.8,1282.3
20170420212803,2017-04-20 21:28:03,1282.3,1282.5,1281.4,1282.4
20170420213024,2017-04-20 21:30:24,1282.3,1282.4,1281.8,1282.4
20170420213141,2017-04-20 21:31:41,1282.5,1282.6,1281.8,1282.1
20170420213344,2017-04-20 21:33:44,1282.0,1282.2,1281.7,1281.9
20170420213724,2017-04-20 21:37:24,1281.9,1282.2,1281.8,1282.0
20170420214351,2017-04-20 21:43:51,1282.0,1282.2,1281.5,1282.2
20170420214737,2017-04-20 21:47:37,1282.2,1282.4,1282.1,1282.2
20170420215249,2017-04-20 21:52:49,1282.2,1283.3,1282.2,1283.3
20170420215445,2017-04-20 21:54:45,1283.3,1283.7,1283.1,1283.3
20170420215454,2017-04-20 21:54:54,1283.4,1283.8,1282.9,1283.0
20170420215526,2017-04-20 21:55:26,1283.0,1283.0,1281.8,1281.8
20170420215702,2017-04-20 21:57:02,1281.8,1281.9,1281.4,1281.4
20170420215746,2017-04-20 21:57:46,1281.4,1281.7,1280.9,1281.2
20170420215849,2017-04-20 21:58:49,1281.2,1281.3,1280.4,1280.4
20170420220006,2017-04-20 22:00:06,1280.4,1280.8,1280.1,1280.7
20170420220034,2017-04-20 22:00:34,1280.7,1281.1,1280.6,1280.6
20170420220209,2017-04-20 22:02:09,1280.6,1280.6,1279.7,1279.8
20170420220229,2017-04-20 22:02:29,1279.9,1280.5,1279.6,1280.1
20170420220313,2017-04-20 22:03:13,1280.1,1280.1,1279.4,1279.4
20170420220413,2017-04-20 22:04:13,1279.4,1280.1,1279.2,1280.1
20170420220510,2017-04-20 22:05:10,1280.1,1280.1,1279.3,1279.3
20170420220633,2017-04-20 22:06:33,1279.3,1279.3,1278.7,1278.8
20170420220637,2017-04-20 22:06:37,1278.9,1279.6,1278.8,1279.6
